id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,01/01/2019,Home,HG4,Haringey  - Priory Park South,8.247614693,8.114858458,6.548908131,4.642054013,6.908507451,10.51878196,15.62745522,20.74428779,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.769561516,13.46818149,10.0592834,7.63401783,9.493394092,8.251130092
2,01/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,19.24254342,20.46599205,7.830820235,7.728434248,8.555981072,11.39155958,10.97854018,15.78550834,13.3640378,12.33331692,-999,-999,-999,-999,-999,-999
3,02/01/2019,Home,HG4,Haringey  - Priory Park South,13.82957846,8.948157752,5.209141752,3.044594928,2.886721569,6.240172235,13.31962593,21.73265412,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.60962285,31.50002959,37.70188199,26.64559357,21.17059979,19.67217108
4,02/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,20.33904821,23.01448633,18.73437856,16.87359414,17.28424664,12.64140366,11.19638505,19.72589077,27.67266923,29.95118688,-999,-999,-999,-999,-999,-999
5,03/01/2019,Home,HG4,Haringey  - Priory Park South,19.21455007,18.80351807,17.29766907,18.22966918,15.12890776,19.77930086,25.00103613,27.42174766,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.95272267,36.83868183,41.4306514,39.93545846,45.55614154,37.29107969
6,03/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,56.07597213,40.69211807,30.51097417,21.27006959,19.05610745,17.29971639,16.57863022,18.38671362,21.59981799,27.49049767,-999,-999,-999,-999,-999,-999
7,04/01/2019,Home,HG4,Haringey  - Priory Park South,33.19971488,34.7186068,29.19844214,20.46310583,15.86223791,14.67443263,22.27383576,31.61766562,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57.34877616,54.25625396,54.16303597,51.84161448,42.52961297,39.01849867
8,04/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,41.33215033,40.33036157,32.81388988,19.12981098,18.15811284,19.60197297,17.19712068,21.91384695,38.60436073,59.02126703,-999,-999,-999,-999,-999,-999
9,05/01/2019,Home,HG4,Haringey  - Priory Park South,38.13239848,28.26782024,29.06575582,25.54524382,20.68711263,17.32307582,21.5048423,19.22723346,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48.96686724,47.52066018,42.86719111,54.23688931,46.02454844,43.60234886
10,05/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,15.3450149,17.77700167,17.93745166,13.64551937,16.18064115,17.10124617,19.80032335,24.03791676,29.62506374,31.75270886,-999,-999,-999,-999,-999,-999
11,06/01/2019,Home,HG4,Haringey  - Priory Park South,46.83947179,37.67036324,32.75798306,28.09566557,24.36633689,21.78138034,25.43632638,30.6182937,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29.12633652,36.98104549,41.48677793,31.1362058,31.40715116,31.35520915
12,06/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,35.35400512,32.23350954,28.9770719,20.0537017,17.93835048,20.47219393,22.13489762,29.73207367,35.11944214,34.39932471,-999,-999,-999,-999,-999,-999
13,07/01/2019,Home,HG4,Haringey  - Priory Park South,22.77328204,27.19203833,22.93655833,16.30851378,10.97292753,14.54993558,25.7328982,32.92700183,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.44178044,17.59458044,17.38269778,14.90805684,10.34834505,5.688214693
14,07/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,32.91351948,25.50214024,25.08450688,24.34688235,23.83655033,21.53243618,20.39923942,22.77809574,24.64640031,22.47096774,-999,-999,-999,-999,-999,-999
15,08/01/2019,Home,HG4,Haringey  - Priory Park South,3.998426458,3.855962928,2.223809255,2.379395608,2.736957595,4.032012497,9.72942515,17.18917108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.29547163,42.63859033,33.88949203,31.03412941,34.40068293,27.71810975
16,08/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,25.31548455,24.10983263,19.0884651,19.47400047,18.77364716,14.76922855,13.76855833,21.75490499,38.39411592,38.44045527,-999,-999,-999,-999,-999,-999
17,09/01/2019,Home,HG4,Haringey  - Priory Park South,23.50458484,12.23243895,10.47040528,7.097969464,8.241852235,9.483477072,16.01570703,28.35764267,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29.81593391,29.09310003,29.82132685,27.12793224,23.90376235,21.00263963
18,09/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,44.97463268,36.88716837,17.65499137,75.51148298,33.01976042,16.80917846,14.72005292,20.31836528,20.43362442,26.28859085,-999,-999,-999,-999,-999,-999
19,10/01/2019,Home,HG4,Haringey  - Priory Park South,19.43868669,17.98549877,17.69222264,16.54995775,17.12096037,22.3130045,35.68195587,49.57563043,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.63826395,57.63480178,56.49622207,53.52581004,45.0524708,34.54863927
20,10/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,54.52770865,60.8028651,55.11697736,53.39946541,50.92400554,42.41708026,46.04812758,50.41661966,56.56332424,57.0204559,-999,-999,-999,-999,-999,-999
21,11/01/2019,Home,HG4,Haringey  - Priory Park South,23.60989699,17.2356902,16.45751875,16.5651279,18.84645187,20.14352413,25.89909067,33.00791592,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62.84105731,46.26802975,38.11751796,36.92790505,38.90734416,34.77168732
22,11/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,38.45505616,35.24478808,30.36570431,31.76033888,37.79867529,36.3718229,33.72583624,35.22270698,51.47013072,63.66902358,-999,-999,-999,-999,-999,-999
23,12/01/2019,Home,HG4,Haringey  - Priory Park South,31.1886971,23.98230954,21.51733595,14.55000549,11.48624565,12.31699827,14.65303064,19.42024084,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.87192183,16.98836392,13.66732084,12.68212037,9.245558484,7.169046431
24,12/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,22.08126782,20.10043054,18.12540565,19.36942735,22.48655733,14.80098698,12.82802939,11.57915404,15.79556518,20.4197326,-999,-999,-999,-999,-999,-999
25,13/01/2019,Home,HG4,Haringey  - Priory Park South,5.824895791,3.806267974,3.01016,2.959536261,3.220125176,5.091665516,8.419449778,8.78281417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13.62355812,12.58405872,5.821899712,6.185304052,6.598343425,4.41491132
26,13/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,11.22801365,9.772229124,10.86081427,9.195094536,9.86974149,8.468335791,9.459768105,12.00787289,14.30198013,16.22007953,-999,-999,-999,-999,-999,-999
27,14/01/2019,Home,HG4,Haringey  - Priory Park South,3.119117386,2.073705725,2.025299085,1.40358285,2.597909595,6.760571085,12.48546776,22.94803331,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39.8727805,46.99587707,55.52617176,44.49911508,44.25141929,36.91183608
28,14/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,31.05678975,22.261432,15.2875601,15.86324659,18.83098212,18.10875744,15.45287373,23.781792,39.97771315,41.43304826,-999,-999,-999,-999,-999,-999
29,15/01/2019,Home,HG4,Haringey  - Priory Park South,36.73841307,27.57195106,24.43310949,26.72715681,23.13217229,23.44274578,35.99029229,59.04393736,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33.07825386,32.35003702,27.29792973,19.3280515,16.04747545,11.61576612
30,15/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,61.88263179,54.81676031,42.03684795,32.31779922,31.37178745,19.4737508,21.92589119,24.94875456,39.94965987,39.17511367,-999,-999,-999,-999,-999,-999
31,16/01/2019,Home,HG4,Haringey  - Priory Park South,7.921441621,4.236704575,4.481713882,3.750191373,4.741753516,6.094822484,11.2057428,18.08819435,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48.37085736,47.39003116,47.13054081,48.69241647,47.75642159,29.6143178
32,16/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,24.23277171,22.35613804,19.33586128,17.35370573,17.8782891,17.51112967,21.31467122,21.94612471,18.61074039,37.11950426,-999,-999,-999,-999,-999,-999
33,17/01/2019,Home,HG4,Haringey  - Priory Park South,30.53681035,20.79739827,23.10856319,17.58195697,8.969140288,9.804606745,14.08034024,21.01738034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.30026426,44.0313074,57.99881532,56.89954416,42.2575291,46.22348805
34,17/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,15.33104319,21.7390857,17.14724596,14.69181987,14.01109088,14.43422703,16.99472559,24.92521537,37.40374222,45.69642792,-999,-999,-999,-999,-999,-999
35,18/01/2019,Home,HG4,Haringey  - Priory Park South,56.9231932,52.25807937,54.49203535,49.71400931,46.30701872,45.88048701,47.32486646,53.90658165,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37.80124193,43.12591247,39.05464136,30.02391169,34.15063022,28.51303927
36,18/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,72.53492899,87.40234902,67.44559043,47.99009574,35.91377244,26.34529663,21.03074285,22.86633025,28.08900429,28.35214986,-999,-999,-999,-999,-999,-999
37,19/01/2019,Home,HG4,Haringey  - Priory Park South,23.89526348,20.41219247,17.13740884,13.68955174,12.95770965,15.46426881,19.2786961,28.84110986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36.99044319,31.71245156,32.13762505,37.78070881,53.22335592,56.37440152
38,19/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,41.45869469,32.5862079,32.06299273,33.67234625,34.14401888,29.76883556,27.52812842,30.34769788,30.24834792,39.38859425,-999,-999,-999,-999,-999,-999
39,20/01/2019,Home,HG4,Haringey  - Priory Park South,51.59932162,44.86458672,37.60480905,38.77478766,36.22699247,32.3617417,30.425536,30.42282954,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57.61276063,58.66216706,56.78988769,52.61391362,52.03309386,45.61300711
40,20/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,34.53296978,34.23602844,34.02144931,34.17817417,25.00934525,22.50795932,18.08063425,18.29732063,29.7523771,48.04848931,-999,-999,-999,-999,-999,-999
41,21/01/2019,Home,HG4,Haringey  - Priory Park South,40.70422222,35.85099461,30.99249391,29.8047086,33.84179446,44.96156978,43.98304058,42.70214714,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46.77639435,56.22781339,52.05757182,35.90026013,33.28574227,27.47866316
42,21/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,59.74062546,73.40774656,59.96157626,64.34551812,70.59528779,51.03726729,40.01273731,25.37181082,28.2544777,36.52711963,-999,-999,-999,-999,-999,-999
43,22/01/2019,Home,HG4,Haringey  - Priory Park South,21.43503367,16.68862625,8.745682771,6.75453898,8.063006327,10.9434561,29.01296492,51.94001569,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,77.91835263,82.39618159,75.88739095,72.15304884,57.08243477,23.67557103
44,22/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,67.94921124,57.3770891,42.89533427,34.2660092,25.84867665,21.61443885,29.68761187,31.78974039,44.62423132,61.69163179,-999,-999,-999,-999,-999,-999
45,23/01/2019,Home,HG4,Haringey  - Priory Park South,13.41512094,9.712677072,8.961380444,5.868938144,6.812952523,10.69083676,17.66105344,25.46983252,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66.58158133,71.51508387,74.82372319,81.32286646,81.01120439,72.99228037
46,23/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,30.49848052,24.30986081,23.31481323,22.16097349,23.20873208,18.54842196,22.42743472,32.07074259,49.50366463,58.90970306,-999,-999,-999,-999,-999,-999
47,24/01/2019,Home,HG4,Haringey  - Priory Park South,70.94292277,60.49236152,51.45962447,49.98608319,48.45485741,50.67745825,47.98498243,55.16675221,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64.45312727,56.69043786,62.52218468,75.25540816,63.41018238,58.67705757
48,24/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,57.70729689,70.35733924,71.10646871,70.29162525,66.35114295,62.11655561,58.87959247,59.85165014,65.53338332,62.1180137,-999,-999,-999,-999,-999,-999
49,25/01/2019,Home,HG4,Haringey  - Priory Park South,45.41502625,29.18501971,31.23297914,43.67366552,43.77839843,38.47684763,37.00249741,38.88009982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45.93376727,50.34447409,44.20423106,31.76352471,36.22384659,33.81253276
50,25/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,42.36390986,44.81380319,39.72795007,36.77592397,39.13484638,19.88184664,17.73902139,20.46841888,30.91970918,44.3044399,-999,-999,-999,-999,-999,-999
51,26/01/2019,Home,HG4,Haringey  - Priory Park South,31.31212554,15.68998337,9.455863216,11.76915535,14.86746996,8.509971294,10.61099127,16.8640766,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.50055132,16.18313788,15.65728617,12.34689914,10.98073731,8.931689307
52,26/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,22.7458879,27.68072868,19.12002379,14.49730447,14.86492329,14.7050126,14.02563184,14.23784408,13.76413412,14.60705082,-999,-999,-999,-999,-999,-999
53,27/01/2019,Home,HG4,Haringey  - Priory Park South,8.34057302,4.487206693,5.625886275,7.203491346,2.994590379,4.150936837,4.36169098,4.780432889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.990452392,8.884211451,8.725519163,7.464359895,7.306466562,5.412535529
54,27/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,6.937659294,7.720254954,6.828721882,5.989789961,6.831468288,8.254845229,10.19586463,10.51207075,10.72389349,10.14488136,-999,-999,-999,-999,-999,-999
55,28/01/2019,Home,HG4,Haringey  - Priory Park South,4.907226928,3.224739137,2.785973438,2.996567791,3.943618196,6.62807451,18.62554102,30.72817987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,75.76590996,79.88615697,74.83451906,73.78029893,68.41382311,56.62542295
56,28/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,35.60680424,25.76385767,15.97934463,15.76803122,14.97904392,14.87699749,12.14764993,16.83238808,30.78508539,58.04185898,-999,-999,-999,-999,-999,-999
57,29/01/2019,Home,HG4,Haringey  - Priory Park South,64.76998254,60.37232863,51.60913877,34.92149124,25.49435043,25.96640256,35.23536042,71.57285825,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65.93344967,56.23350593,36.55307566,31.23743331,23.86000962,26.91821673
58,29/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,84.65858034,83.78906844,63.31536648,46.80899169,31.20514557,30.84410813,29.43400382,32.54491195,40.29162227,62.03691984,-999,-999,-999,-999,-999,-999
59,30/01/2019,Home,HG4,Haringey  - Priory Park South,18.55356523,8.154167007,5.954606013,9.117785725,9.11744617,18.07798771,36.99350918,57.62640277,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,73.32662275,71.38168847,71.83763169,70.78308199,72.60109239,68.73708999
60,30/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,58.65381799,56.11110614,53.92154207,40.47661014,23.10456842,13.63948727,13.95719142,25.76517595,41.68899325,62.00818745,-999,-999,-999,-999,-999,-999
61,31/01/2019,Home,HG4,Haringey  - Priory Park South,68.47136779,55.15380915,47.19243979,40.79410458,35.73743325,47.04343482,56.08016664,64.78371456,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35.0822708,36.7171509,24.37625391,18.57279007,15.03701804,18.7850822
62,31/01/2019,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,95.12621924,108.0030647,93.82329464,71.78936486,64.54491712,51.91008486,29.94627331,30.7471051,36.92566797,44.57154029,-999,-999,-999,-999,-999,-999
63,01/02/2019,Home,HG4,Haringey  - Priory Park South,15.9109142,13.37590227,13.20152052,8.709919582,8.552066196,12.24792868,20.32879163,32.31934719,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.82555801,30.25905391,22.07515582,15.52611786,11.82774865,10.08452037
