id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,HP1,Lewisham - Honor Oak Park,11.078,11.60325,9.02475,8.594999999999999,8.83375,14.85025,21.105499999999996,20.29375,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.650999999999998,12.797,9.69325,11.1735,10.07525,11.794250000000002
2,2019-01-01,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,21.965,20.914499999999997,21.965,18.86125,15.3755,17.094499999999996,17.42875,22.87224999999999,25.355249999999995,10.74375,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,HP1,Lewisham - Honor Oak Park,10.696,9.12025,9.55,7.30575,9.2635,13.37,21.917250000000003,21.8695,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31.89700000000001,32.42224999999999,29.605,28.841,29.031999999999996,26.596749999999997
4,2019-01-02,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,26.071499999999997,29.36625,28.3635,28.88875,29.891499999999997,22.824499999999997,22.156,29.987,29.652749999999997,31.897,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,HP1,Lewisham - Honor Oak Park,29.84375,20.7235,19.3865,14.18175,16.3305,24.209249999999997,35.526,31.419499999999996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.53974999999999,46.07875,45.74449999999999,65.03549999999998,65.79950000000001,64.70125
6,2019-01-03,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,22.77675,22.10825,20.628,27.36075,30.98975,18.909,21.105499999999996,27.695,32.32675,35.57375,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,HP1,Lewisham - Honor Oak Park,61.54975,57.82525,50.56725,56.39274999999999,56.345,31.132999999999992,39.87125,36.86299999999999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,67.94825,67.7095,66.85,64.98774999999999,62.9345,56.10625
8,2019-01-04,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,41.97225,42.83175,41.87675,45.983250000000005,33.66375,30.03475,32.756499999999996,30.79875,36.863,47.559000000000005,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,HP1,Lewisham - Honor Oak Park,40.348749999999995,49.851,50.85374999999999,28.984249999999996,15.80525,14.706999999999995,16.28275,18.670249999999996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46.84275,58.732499999999995,53.81425,44.45524999999999,39.6325,47.654500000000006
10,2019-01-05,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,17.6675,18.86125,18.097250000000003,18.145,18.145,19.5775,20.246,22.538,23.540750000000003,25.16425,-999,-999,-999,-999,-999,-999
11,2019-01-06,Home,HP1,Lewisham - Honor Oak Park,50.1375,39.346,32.5655,28.02925,22.251499999999997,19.14775,26.4535,35.4305,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41.11275,41.1605,54.5305,47.0815,37.57925,32.231249999999996
12,2019-01-06,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,43.40475,43.93,36.71975,35.6215,33.85475,36.481,43.500249999999994,47.6545,53.76649999999999,55.1035,-999,-999,-999,-999,-999,-999
13,2019-01-07,Home,HP1,Lewisham - Honor Oak Park,40.11,28.22025,26.071499999999997,27.07425,25.3075,22.77675,21.34425,26.549,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.195499999999996,16.37825,17.61975,16.7125,20.38925,11.98525
14,2019-01-07,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,28.841,28.984249999999996,27.074249999999996,26.69224999999999,23.302,22.77675,21.630750000000003,23.73175,22.729,22.20375,-999,-999,-999,-999,-999,-999
15,2019-01-08,Home,HP1,Lewisham - Honor Oak Park,9.78875,8.786,5.96875,6.494,7.257999999999999,10.505,15.99625,24.5435,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.11825,45.88775,37.436,31.133,30.89425,35.6215
16,2019-01-08,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,33.95025,37.3405,30.941999999999997,26.02375,19.482,17.572,18.336,23.397499999999997,34.8575,42.163250000000005,-999,-999,-999,-999,-999,-999
17,2019-01-09,Home,HP1,Lewisham - Honor Oak Park,30.2735,21.4875,14.515999999999998,10.93475,10.17075,11.9375,17.33325,28.50675,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.42225,46.222,45.12375,41.638,35.8125,34.6665
18,2019-01-09,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,39.10725,34.80975,26.97875,25.54625,20.627999999999997,22.20375,27.7905,28.69775,33.377250000000004,34.045750000000005,-999,-999,-999,-999,-999,-999
19,2019-01-10,Home,HP1,Lewisham - Honor Oak Park,33.234,27.504,27.695,24.161499999999997,24.5435,37.1495,50.280750000000005,60.403749999999995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,61.454249999999995,60.97675,59.16225,57.920750000000005,54.626,51.52225
20,2019-01-10,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,66.3725,66.75450000000001,64.51025000000001,63.221,63.3165,64.6535,64.8445,62.17049999999999,67.75725,63.45975,-999,-999,-999,-999,-999,-999
21,2019-01-11,Home,HP1,Lewisham - Honor Oak Park,49.3735,27.55175,19.62525,21.200999999999997,21.6785,31.514999999999997,31.180749999999996,40.683,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66.70674999999999,58.35049999999999,50.614999999999995,45.696749999999994,48.4185,49.468999999999994
22,2019-01-11,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,45.60125,46.26975,44.694,42.25875,47.272499999999994,51.0925,54.76925,50.85375,59.16225,62.02724999999999,-999,-999,-999,-999,-999,-999
23,2019-01-12,Home,HP1,Lewisham - Honor Oak Park,34.427749999999996,22.8245,13.60875,11.269,10.36175,11.88975,13.32225,15.614249999999997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.83825,26.74,25.259749999999997,22.77675,17.954,15.51875
24,2019-01-12,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,20.77125,22.0605,19.243249999999996,20.19825,22.729,25.73725,16.426,15.9485,20.246,30.751,-999,-999,-999,-999,-999,-999
25,2019-01-13,Home,HP1,Lewisham - Honor Oak Park,14.898,9.40675,7.40125,5.300249999999999,4.34525,5.109249999999999,6.302999999999999,7.97425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.105499999999996,15.90075,8.45175,8.499499999999998,9.69325,7.878749999999999
26,2019-01-13,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,9.645499999999998,12.224,13.13125,15.470999999999998,17.189999999999998,16.85575,11.46,12.65375,14.27725,16.7125,-999,-999,-999,-999,-999,-999
27,2019-01-14,Home,HP1,Lewisham - Honor Oak Park,6.732749999999999,5.920999999999999,6.302999999999999,4.966,6.589499999999999,9.8365,14.706999999999995,26.8355,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35.4305,58.3505,57.3955,51.57,53.67099999999999,43.834500000000006
28,2019-01-14,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,34.762,30.22575,21.72625,22.967749999999995,23.301999999999996,22.10825,26.59675,26.40575,36.24225,38.05675,-999,-999,-999,-999,-999,-999
29,2019-01-15,Home,HP1,Lewisham - Honor Oak Park,33.09075000000001,30.22575,20.7235,14.9935,11.603249999999996,12.797,29.93925,42.3065,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.459,24.9255,20.10275,20.341499999999996,13.51325,13.51325
30,2019-01-15,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,40.348749999999995,30.22574999999999,25.737249999999996,20.962249999999997,22.20375,21.82175,20.5325,25.976,29.414,31.56275,-999,-999,-999,-999,-999,-999
31,2019-01-16,Home,HP1,Lewisham - Honor Oak Park,8.213,6.9715,5.58675,4.727249999999999,5.109249999999999,7.30575,12.65375,16.043999999999997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48.84824999999999,49.94649999999999,43.0705,35.955749999999995,26.2625,27.886
32,2019-01-16,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,19.1,17.23775,15.327749999999996,13.60875,13.22675,13.560999999999998,18.336,21.6785,24.83,35.048500000000004,-999,-999,-999,-999,-999,-999
33,2019-01-17,Home,HP1,Lewisham - Honor Oak Park,24.01825,16.426,15.32775,16.330499999999997,16.664749999999998,16.5215,23.349749999999997,33.281749999999995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51.713249999999995,54.053,66.89774999999999,72.53225,72.62775,72.15025000000001
34,2019-01-17,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,24.161499999999997,23.111,24.877749999999995,22.2515,19.72075,19.9595,21.6785,31.211170283740984,37.00625,49.1825,-999,-999,-999,-999,-999,-999
35,2019-01-18,Home,HP1,Lewisham - Honor Oak Park,67.5185,60.069500000000005,53.71875,56.10625,52.4295,49.13475,53.671,59.782999999999994,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.389249999999997,18.765749999999997,17.2855,16.521499999999996,16.521499999999996,13.03575
36,2019-01-18,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,70.90875,66.3725,55.53325,31.944750000000003,16.616999999999997,11.50775,11.69875,15.28,14.18175,21.72625,-999,-999,-999,-999,-999,-999
37,2019-01-19,Home,HP1,Lewisham - Honor Oak Park,9.88425,8.308499999999999,9.359,6.732749999999999,9.02475,12.5105,14.85025,17.6675,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.45602885419156,33.41106754895391,34.17823381741913,34.25952862674784,33.70243536259504,32.83870620506401
38,2019-01-19,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,24.448,24.83,19.91175,32.96406736721504,16.47375,18.67025,19.1955,20.341499999999996,22.538,31.472854407822076,-999,-999,-999,-999,-999,-999
39,2019-01-20,Home,HP1,Lewisham - Honor Oak Park,31.869374028754017,30.975573703219748,30.15176102624986,29.576531219431555,29.27812104346034,29.404573401841176,30.068969898806916,30.563036137311386,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.45602885419156,33.41106754895391,34.17823381741913,34.25952862674784,33.70243536259504,32.83870620506401
40,2019-01-20,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,31.065516944641352,31.90598487739245,32.66244291433621,32.96406736721504,32.90925717233013,32.50121607596795,31.725783563045216,31.211170283740984,30.977981465762102,31.472854407822076,-999,-999,-999,-999,-999,-999
41,2019-01-21,Home,HP1,Lewisham - Honor Oak Park,31.869374028754017,30.975573703219748,30.15176102624986,29.576531219431555,29.27812104346034,29.404573401841176,30.068969898806916,30.563036137311386,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.45602885419156,33.41106754895391,34.17823381741913,34.25952862674784,33.70243536259504,32.83870620506401
42,2019-01-21,Work,HP1,Lewisham - Honor Oak Park,-999,-999,-999,-999,-999,-999,-999,-999,31.065516944641352,31.90598487739245,32.66244291433621,32.96406736721504,32.90925717233013,32.50121607596795,31.725783563045216,31.211170283740984,30.977981465762102,31.472854407822076,-999,-999,-999,-999,-999,-999
43,2019-01-22,Home,HP1,Lewisham - Honor Oak Park,31.869374028754017,30.975573703219748,30.15176102624986,29.576531219431555,29.27812104346034,29.404573401841176,30.068969898806916,30.563036137311386,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.45602885419156,33.41106754895391,34.17823381741913,34.25952862674784,33.70243536259504,32.83870620506401
