id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,LB6,Lambeth - Streatham Green,16.516224062663273,18.9272403541612,13.81675304066085,13.56371745762784,13.706675726223148,24.086091304184645,28.37908597082226,30.100541267501136,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33.579060113479706,30.834900589311463,30.902249705361942,29.26389563584695,34.01960093983665,24.42906931667834
2,2019-01-01,Work,LB6,Lambeth - Streatham Green,-999,-999,-999,-999,-999,-999,-999,-999,32.17732589438747,27.49690149845379,25.779340926551583,22.889062144412925,16.09247948364243,14.416348208831394,17.46332514722132,22.54287540979849,34.162506162818566,38.911797451506295,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,LB6,Lambeth - Streatham Green,29.23251055102484,23.69546688711892,15.131400794911537,15.181159361612846,16.25325547879827,21.12108905946937,31.381649712770397,46.0654068693171,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72.58898692877045,59.46656001033935,53.87881867016405,58.57038304923963,59.3196332284172,47.501857160637535
4,2019-01-02,Work,LB6,Lambeth - Streatham Green,-999,-999,-999,-999,-999,-999,-999,-999,46.91046223033209,29.404573401841176,30.068969898806916,30.563036137311386,52.1133998857274,52.318917164459386,51.33617352587711,52.81004304291269,68.48647073040681,71.91471818528433,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,LB6,Lambeth - Streatham Green,47.67054761440564,35.988241214138434,35.825620699165114,30.763239824187217,34.29763124455272,52.70378582349208,59.65609569657094,66.48477174184069,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62.57075460782659,65.9738482392944,66.63533526039389,81.65581054953039,87.9803498935787,79.73585909259042
6,2019-01-03,Work,LB6,Lambeth - Streatham Green,-999,-999,-999,-999,-999,-999,-999,-999,55.98255048398324,29.404573401841176,41.103851603340935,46.472068505797814,46.57146454308353,43.088152068281374,53.93606358086944,57.78886507925974,57.91268676289946,58.261580744721144,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,LB6,Lambeth - Streatham Green,74.50522625851627,70.18232560128773,61.86315515374967,54.936835281248264,57.62783485096747,60.37099503584325,63.3457058796137,64.02945315735495,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72.29711904105719,74.42215834243926,76.07950783581681,70.12347492049628,64.95216891796342,62.37607901049787
8,2019-01-04,Work,LB6,Lambeth - Streatham Green,-999,-999,-999,-999,-999,-999,-999,-999,64.09683374942935,60.81206718810788,56.63664403909445,51.481367104972186,51.67202887488907,40.46453389653045,46.39826180376157,65.21477224017542,76.88367913924758,75.09022607313784,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,LB6,Lambeth - Streatham Green,60.78159139178985,53.00847179129862,48.81455751769056,45.53411176164724,40.02267785764582,36.96552821052587,42.635382524623374,46.856866083522384,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59.99317894425801,65.87526179251871,68.65747470138787,62.84046453037926,55.135122581139385,56.897638234602745
10,2019-01-05,Work,LB6,Lambeth - Streatham Green,-999,-999,-999,-999,-999,-999,-999,-999,43.17942363512879,38.315128469784355,38.44772686204907,30.70259690082598,34.01285327165244,49.906774964309065,42.65112608402489,40.61045244172626,41.025817630822395,46.67532805536483,-999,-999,-999,-999,-999,-999
