id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,WM0,Westminster - Horseferry Road,20.058824993464057,23.110999999999997,17.381,16.044,21.200999999999997,26.167,35.526,39.537,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35.717,25.594,27.695,22.729,24.257,23.110999999999997
2,2019-01-01,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,-999,42.211,37.245,40.11,35.908,35.335,38.2,36.29,48.132,52.334,39.728,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,WM0,Westminster - Horseferry Road,25.020999999999997,25.785,23.684,23.110999999999997,23.493,27.504,36.863,36.672,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39.155,40.301,41.638,40.11,40.492,33.806999999999995
4,2019-01-02,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,-999,41.065,44.121,41.447,42.211,42.211,36.099,34.762,42.211,42.593,43.739,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,WM0,Westminster - Horseferry Road,32.088,22.729,21.774,20.055,22.156,27.313,41.638,32.278999999999996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46.794999999999995,56.154,51.188,45.267,58.63699999999999,55.963
6,2019-01-03,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,-999,34.762,38.2,38.964,37.436,34.953,35.717,36.099,43.739,53.671,63.029999999999994,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,WM0,Westminster - Horseferry Road,45.267,32.852,29.031999999999996,26.930999999999997,35.526,37.053999999999995,42.975,48.323,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,76.01799999999999,72.962,73.15299999999999,71.625,67.42299999999999,67.041
8,2019-01-04,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,-999,57.491,54.24399999999999,59.401,56.345,50.806,50.806,50.041999999999994,47.559,54.24399999999999,72.198,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,WM0,Westminster - Horseferry Road,64.94,60.928999999999995,54.434999999999995,52.334,49.278,36.099,51.379,43.93,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66.85,67.42299999999999,61.69299999999999,62.266,56.727,67.61399999999999
10,2019-01-05,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,-999,38.391,41.065,40.301,43.739,42.211,45.458,55.008,57.108999999999995,62.457,62.075,-999,-999,-999,-999,-999,-999
11,2019-01-06,Home,WM0,Westminster - Horseferry Road,65.322,59.974,51.188,41.638,37.626999999999995,40.11,46.413,54.053,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55.963,58.63699999999999,61.69299999999999,56.918,50.997,50.041999999999994
