id,Date,daynight,code,site,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0
1,2019-12-23,Home,BY7,Bromley - Harwood Avenue,-999,-999,5.486167927220884,5.763064969073799,9.56030340830284,18.972278859931212,28.55678016973628,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57.31427321235606,54.38199208760009,46.26352495795039,39.6171903781106,30.72949586950878,27.775183136626307,-999
2,2019-12-23,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,36.65995750850324,41.00402747233291,31.081400262674286,-999,28.852157870018463,31.218624124305855,31.739301764395744,49.50464256853069,49.32656704724128,62.7211397238532,-999,-999,-999,-999,-999,-999,-999
3,2019-12-24,Home,BY7,Bromley - Harwood Avenue,8.2921822247288,5.050949807104042,3.6759241361788537,6.758255958523104,9.02603344789313,13.359281940761932,15.314816409831137,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30.540090766228875,34.66659820188631,30.567398955497435,26.272274773249997,22.985111717559604,15.946039753765929,18.566334458708457
4,2019-12-24,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,15.720838374826537,17.106442535597647,19.32051467765007,21.197302343476725,23.09746084281154,20.57533842176103,27.87376177304439,26.41776236371892,29.227660155053044,30.76716708721679,-999,-999,-999,-999,-999,-999,-999
5,2019-12-25,Home,BY7,Bromley - Harwood Avenue,9.448522082883782,8.341486246282393,7.407822653971803,9.4894408631949,11.905007742763432,19.645116511622533,24.641835366129957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.92427816567152,51.770650618208066,48.68798153784738,49.96471718379572,45.90093542548387,46.80383627250155,14.136875547908298
6,2019-12-25,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,24.91595739852646,21.803828580242175,20.02025753812177,24.4002763782555,30.740584858365462,29.74931859691015,30.183754107247736,36.11860347552709,48.00610467296042,52.524979649832616,-999,-999,-999,-999,-999,-999,-999
7,2019-12-26,Home,BY7,Bromley - Harwood Avenue,28.94710389982036,15.9647882721239,12.777790350071088,10.363329073198337,11.027891838030268,11.80210223378884,11.19681902069848,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.170208305191,27.78227010849276,29.145080547667828,27.47422045906476,31.504742693864287,22.861797171956244,28.271965279204466
8,2019-12-26,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,11.305912462257137,10.105358689575448,9.675674517890966,11.340418668148894,14.37464317762574,25.47711959393032,15.88938830229149,16.031605787788692,20.58476182855311,20.029295004640744,-999,-999,-999,-999,-999,-999,-999
9,2019-12-27,Home,BY7,Bromley - Harwood Avenue,13.615789135874428,11.962729840776316,11.859205509148424,12.038703569497768,17.269790166991946,25.67258224347054,30.167856289675505,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59.464788712716526,53.11692574110701,54.18829004741563,49.89149409894866,37.40915652245407,34.66962866719999,17.10029206657003
10,2019-12-27,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,41.516386627153096,47.713111020119925,46.18390768067075,42.462565886870365,31.17112051784949,47.1974787129016,53.5281086832926,65.41318699039155,69.81238855260548,91.07297127685244,-999,-999,-999,-999,-999,-999,-999
11,2019-12-28,Home,BY7,Bromley - Harwood Avenue,20.23148096846603,20.188053293736218,18.054103777892397,18.24139425043913,22.740846653127225,26.803376350896514,34.525979269033456,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38.421489877580584,25.36443067090187,30.532949286894905,20.665975367149105,20.3718262309384,20.42999376213288,29.338927937681163
12,2019-12-28,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,40.24594920106997,41.923076838189,42.479118337943305,40.57568471994861,47.021526338050286,50.67054282712734,49.97485373862908,53.224786159390376,48.45704492670499,38.65858447545689,-999,-999,-999,-999,-999,-999,-999
13,2019-12-29,Home,BY7,Bromley - Harwood Avenue,12.534466320990544,11.648931718301077,11.313310249438976,12.629656098431315,14.825976183892069,19.499970888208384,24.102713214030608,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52.48420299277853,43.85736027905429,40.32498813335593,37.13600074339555,33.69570213092199,37.561229976972776,14.91194508382657
14,2019-12-29,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,25.931109737414033,26.67109954209011,30.29145659641122,30.573346287337476,31.589423422914383,38.211779662686254,39.19584788354014,37.76652256971861,43.029428005848,47.40814262225726,-999,-999,-999,-999,-999,-999,-999
15,2019-12-30,Home,BY7,Bromley - Harwood Avenue,26.488941155893336,25.150895968209756,21.01957133052275,17.405038311759995,20.81668201096547,29.716074641792385,41.13767388362967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58.25798853397138,53.67976996100593,51.97640985196228,48.45508264543463,47.3946060030038,43.653205339716685,35.30534188537156
16,2019-12-30,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,47.02970620316451,46.59835147061035,41.14768688476555,36.85580930320759,35.888709006741,42.60045556103304,42.69224866969591,60.71508382226065,57.185422301539845,57.369092024328175,-999,-999,-999,-999,-999,-999,-999
17,2019-12-31,Home,BY7,Bromley - Harwood Avenue,37.67800256100454,37.01195156503036,37.13263995571751,36.659518305195725,35.61088023662064,39.06179070412583,39.88361843155701,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.612334999959653,27.19133723545318,24.201846444538127,25.646226833210207,39.13713605643195,45.33793221498943,39.998605578226496
18,2019-12-31,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,36.582730481319174,33.41123032468181,30.95078582397095,32.4728041111509,29.584359352111797,29.327783173510205,29.38235126561965,30.424035519904,32.03207142164518,32.16565589725175,-999,-999,-999,-999,-999,-999,-999
19,2020-01-01,Home,BY7,Bromley - Harwood Avenue,38.89220418392912,36.41479506702749,32.25812649119806,33.12002106965807,34.20177386008148,33.802657056555056,34.3831329257568,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48.23051421802676,42.331367032234176,32.36789602740854,27.847727318336485,22.91121066252574,13.790144589509094,41.77596944055235
20,2020-01-01,Work,BY7,Bromley - Harwood Avenue,-999,-999,-999,-999,-999,-999,-999,33.311380559149676,35.768806288434455,38.60248379215511,40.981715043340536,43.71801596140904,52.08487577801664,50.28150511262519,53.68959667028253,50.82732184266852,51.5698193613604,-999,-999,-999,-999,-999,-999,-999
