id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,HV1,Havering - Rainham,16.272897038365237,11.606922718728915,9.5655925887368909,7.815564696608605,9.18815459965578,20.343246331055397,26.835356890614424,20.277688505660297,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.783290173056919,8.22034985746025,6.429307665447945,7.808565926161821,8.632770673923044,12.43799367765724
2,2019-01-01,Work,HV1,Havering - Rainham,-999,-999,-999,-999,-999,-999,-999,-999,33.65926127365308,30.57065320734787,24.146793058960498,23.63270335916734,12.273711952912771,11.821148638442816,12.487593711440608,16.804619811928543,9.97121326660302,9.457381734191976,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,HV1,Havering - Rainham,6.586467463526136,5.993973050885637,4.428647914262548,3.722244308205928,8.506916924874217,11.5104828742194,15.656216492603406,21.51487870282062,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.653989629082407,21.231894881088056,22.949068990849256,20.582737036211597,18.32911924749604,15.333144233567962
4,2019-01-02,Work,HV1,Havering - Rainham,-999,-999,-999,-999,-999,-999,-999,-999,26.01419209900512,25.648153302086524,19.69695553554114,26.06235322255273,16.86109309177814,13.07962833588413,17.832459455866523,21.964104255717075,20.94255318489586,22.885852752408603,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,HV1,Havering - Rainham,14.581118511418373,13.126446462638189,12.605481098735137,15.08644764987681,16.6722982508326,19.179924612211178,33.82302203919193,42.74969042698267,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23.96350286391369,19.744670660144713,23.26715760250324,35.77305521297686,26.91884627182419,53.514280695577504
6,2019-01-03,Work,HV1,Havering - Rainham,-999,-999,-999,-999,-999,-999,-999,-999,60.69970412506441,51.652548233884545,35.602195067256424,26.550729999430047,19.66003573607285,18.949616823006128,19.02036425446871,17.75725053874238,21.633330971370004,25.061659733974953,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,HV1,Havering - Rainham,53.31224670109042,49.51283567875063,36.53383512296244,49.2844989529423,45.115289139802215,33.80203920957226,32.520396092742345,52.36577751437298,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,81.63988477393386,73.18720890836276,66.6439744039052,65.53902048270376,60.80871986100317,55.25845487801016
8,2019-01-04,Work,HV1,Havering - Rainham,-999,-999,-999,-999,-999,-999,-999,-999,58.816876940699366,56.63248940551614,43.36282363949571,35.41230344186667,26.659239420825525,25.72274665878614,25.08256792700906,25.16578438362067,71.38200446845539,87.65739815096529,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,HV1,Havering - Rainham,44.91779986463023,36.13463351411693,30.768727232517303,25.939953680810056,15.762409895906451,15.41793384147102,16.697846469943645,15.73035165958828,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.23068958681829,65.85770877643807,66.18046460034056,50.136800387506895,45.5382664911672,37.43172976385612
10,2019-01-05,Work,HV1,Havering - Rainham,-999,-999,-999,-999,-999,-999,-999,-999,13.868541854033008,15.463662277030478,17.81403319378646,12.859899901349207,16.066157110657183,11.188969674884412,18.184415757355215,21.301340509044405,24.42876901092211,53.34013075509599,-999,-999,-999,-999,-999,-999
