id,Date,daynight,code,site,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0
1,2019-01-01,Home,ST6,Sutton - Worcester Park,20.76669753699416,18.03644097363211,14.927841579804449,11.851660968240283,21.64777750443783,24.206166962109016,26.66074142366406,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.86071510686545,32.28089068756824,22.23274665276164,19.600402325374528,16.166065585872687,13.400132649654624,19.97325713800416
2,2019-01-01,Work,ST6,Sutton - Worcester Park,-999,-999,-999,-999,-999,-999,-999,29.254912120652634,26.521797773751256,20.65642920355124,25.20629141342172,38.02444928218988,38.839095573897616,40.41945847878732,60.1784774167195,55.180173163021955,38.01667300167693,-999,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,ST6,Sutton - Worcester Park,16.7248426894786,16.47517806071844,12.94612551026687,16.003348155210286,44.83634951245485,48.62040515473708,55.58698787329004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,69.65488320634978,71.91506328427123,61.120969621945925,53.10195751645139,50.14587797686165,50.74810049345964,13.517101165315337
4,2019-01-02,Work,ST6,Sutton - Worcester Park,-999,-999,-999,-999,-999,-999,-999,52.96592477766005,43.57216001860664,38.416419549758814,37.885145036486904,46.85028250084472,37.821999124116765,42.118678114375584,44.57959646168447,58.96229290514225,62.10358742535079,-999,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,ST6,Sutton - Worcester Park,31.72600105899059,26.8035761308339,28.51087923528875,25.0682135865916,40.64749765005523,55.47149651131406,80.42952210393682,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62.42831183231865,71.10085382870899,78.0603165407773,100.62741845820184,99.50707161874392,96.94899955963112,42.37852911962609
6,2019-01-03,Work,ST6,Sutton - Worcester Park,-999,-999,-999,-999,-999,-999,-999,62.32241784782976,60.7736093576844,76.07247255600365,52.14360299450931,79.01913488250236,94.44763977522358,75.21322138334342,49.06780947218312,58.428630065728605,67.81348732319557,-999,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,ST6,Sutton - Worcester Park,62.017625726848806,65.19389468179585,64.73680422414894,69.77145156613847,83.11801888948172,74.68138329837966,68.8320972737955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,114.46983531693324,107.25052315691929,79.39510089362432,78.83622727404074,93.79478253713056,82.32635911073497,82.12926467799332
8,2019-01-04,Work,ST6,Sutton - Worcester Park,-999,-999,-999,-999,-999,-999,-999,90.48759188332605,81.27930635372837,63.1434924152131,71.86660117283033,76.85877541331402,87.4689252920708,61.470913672834946,78.3523196744401,126.54606247875137,130.2458330436134,-999,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,ST6,Sutton - Worcester Park,58.93426058412499,51.65841176891886,45.56960924843515,42.70514623671384,46.56816156344439,53.75023392908174,50.447922608120955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,80.57904646278898,81.06592112393928,65.73001675734132,56.42546715989641,66.86777098669535,61.57026758509365,75.55609182325041
10,2019-01-05,Work,ST6,Sutton - Worcester Park,-999,-999,-999,-999,-999,-999,-999,41.13831469685635,43.311739725147504,43.90298054505585,79.17755913322247,66.32961140969024,56.03850241427708,64.20915237576344,67.92346555258533,79.00743209253635,84.03584856975219,-999,-999,-999,-999,-999,-999,-999
