id,Date,daynight,code,site,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0
1,2019-01-01,Home,TH4,Tower Hamlets - Blackwall,37.290970466635926,27.97773446119087,26.54595572094501,25.18197996042441,28.791444556842528,34.01853589475738,37.90555381133386,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.4551809242206,28.362285405016408,25.159349486040355,28.06080317207122,27.912147930227935,33.361758250207956,33.432718792814526
2,2019-01-01,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,36.08364317056692,35.94099037223037,32.75509215607498,34.34662719521876,28.768313791333533,34.9316164859756,34.849663312592575,42.75206906375639,41.985489721062095,35.98168720326626,-999,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,TH4,Tower Hamlets - Blackwall,31.333304046216547,28.987875006821263,22.064769041482982,29.881946815428577,41.506969713357726,68.1484805626555,70.03324753261006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72.56025093906146,64.45941619082586,71.77679773059671,58.12116613963177,62.16330642454546,51.86671208562612,27.55468930409026
4,2019-01-02,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,67.23891802419739,69.32160936104762,71.19567035156538,64.55671180142217,68.54742042651736,69.62451851144819,77.8359027261394,84.65040581473879,70.50125850632631,70.13632211545075,-999,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,TH4,Tower Hamlets - Blackwall,43.37557835770672,40.88699155537179,49.0866758047454,48.914117317618064,52.98726290115871,75.79900583961016,85.44305568245294,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59.9824019933992,59.52465796143531,68.70209094183811,74.01393217747506,71.85772060078901,75.6006222700377,67.14378259504048
6,2019-01-03,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,93.05046913582936,101.66307825003966,90.4394526615192,91.33221436034606,76.13925030312986,70.6184373340738,58.89046398684053,65.57019615783774,55.17884275318094,50.745379375056,-999,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,TH4,Tower Hamlets - Blackwall,68.41831215377866,65.57272397161974,67.61146982349331,36.296213929202374,42.329292684259464,68.04273119181687,64.80227885131924,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,87.92825041976194,83.33012304716668,79.40738344056888,75.76824873325022,76.28198087240982,68.58191682185718,77.13298470648213
8,2019-01-04,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,72.80599341424896,82.89772962906731,82.57514419630807,78.67160193480058,68.87535369936906,74.23075065728467,76.38869253111704,71.01595105382793,102.43983087536633,93.65250826249,-999,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,TH4,Tower Hamlets - Blackwall,45.64473382659522,39.53738781114394,35.239948908043765,38.804690406404674,42.005273297598194,53.61035328164166,55.53525413370979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,74.31308448445525,76.29430240504496,67.71641547171494,67.30811595208836,61.80065767387119,68.18311040328365,56.32708249404224
10,2019-01-05,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,58.04284170459303,59.30992346645551,58.04226994726092,59.515011411795555,55.4360024274633,69.20731130305087,65.8581291259685,68.28961584540089,66.20883826863412,63.10115991892597,-999,-999,-999,-999,-999,-999,-999
11,2019-01-06,Home,TH4,Tower Hamlets - Blackwall,53.92602644708406,65.97427757179227,51.58685663780428,47.33870273816376,46.90735010120834,41.94341490656019,42.10300413162402,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63.31041512036922,70.80637638847527,74.52406332186735,69.78869195163124,72.58126653643475,69.07998514520222,76.73693558131025
12,2019-01-06,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,49.272200034059864,55.58307240757937,54.19155368108285,59.34672040814162,64.88080899392573,66.18874921830043,71.91165172115574,67.21299846187968,81.75421915946762,67.50972059639045,-999,-999,-999,-999,-999,-999,-999
13,2019-01-07,Home,TH4,Tower Hamlets - Blackwall,52.22752022100275,47.357121099355446,41.09699514892649,44.693732003814596,41.99819253915167,56.07087748299751,55.486291051021496,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46.645350183015296,44.293331745577674,43.69361056532037,38.33912999572407,28.55212949107387,22.585787759085942,62.70391278823183
14,2019-01-07,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,60.25390547635163,65.9063546053238,59.91374329522451,64.69018270988418,54.59432651690759,50.90940165549283,51.732572472985815,54.11751378321037,67.13734970030988,58.936921092656256,-999,-999,-999,-999,-999,-999,-999
15,2019-01-08,Home,TH4,Tower Hamlets - Blackwall,14.239944415367388,12.3290279620601,14.164182632987584,17.876517687893227,32.16954526476197,51.11659487981558,57.854361126234934,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,78.53252841900122,74.39437572583574,83.82127164753132,72.72755579875245,55.79119291945131,46.43574666448098,18.68454670414603
16,2019-01-08,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,73.13114438688288,59.82697973364847,66.28340277708021,67.03826351253772,53.94680978397868,59.76804493110504,59.82342160261563,76.7716048764129,92.2157682814045,85.29237868599192,-999,-999,-999,-999,-999,-999,-999
17,2019-01-09,Home,TH4,Tower Hamlets - Blackwall,38.8851375546591,30.05542243776629,27.085012517871107,30.64352620768123,42.374624629099465,71.93754246874718,79.06937722999847,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,81.34455749347767,75.99077387552457,68.1625768804611,68.9993511726862,71.0351660243537,66.02359855371017,40.473316097167896
18,2019-01-09,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,83.3170504692583,88.02229057316897,80.01504594252924,80.26262408289476,73.1443649017039,68.23259720794452,70.90408338665725,80.08460748369752,84.15217114439986,79.78114205290854,-999,-999,-999,-999,-999,-999,-999
19,2019-01-10,Home,TH4,Tower Hamlets - Blackwall,44.671175374337246,47.51553848404277,45.480201289009955,47.43770502984362,70.29024754077206,87.27563737356247,95.56031571641849,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,85.60913585610777,81.72675325235899,82.08343834284231,78.10135439386934,75.59044750689371,69.6396928246153,61.955985675987826
20,2019-01-10,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,104.2866284046882,103.806335237744,104.48165411266372,104.08272042703176,110.95851390508552,98.75567362572023,103.2464502143757,110.53412002276524,103.3552634129386,106.7503160092552,-999,-999,-999,-999,-999,-999,-999
21,2019-01-11,Home,TH4,Tower Hamlets - Blackwall,55.76423217862954,45.88333996945703,41.986579674360094,48.42429993150068,59.1282137553975,80.67311485722631,90.20278903724724,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,94.8003276955582,78.69061177351577,71.1204879270562,71.84409961868268,82.63510876921471,73.5891161093232,58.76579514197522
22,2019-01-11,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,88.43322406490464,84.16087147775946,91.51981778696104,85.45657192860575,85.23877459351775,92.14417714690327,98.44727711142568,95.73856376792772,89.90591225948225,97.74998016862824,-999,-999,-999,-999,-999,-999,-999
23,2019-01-12,Home,TH4,Tower Hamlets - Blackwall,47.81948968525404,33.88225290279436,28.76584006632572,25.243074802418707,29.836348127661324,34.488370988735504,36.9609332215656,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50.590222071089,44.47782978194798,47.19333160179464,43.63741997769026,41.04588047210592,36.24957310911944,56.08941318437664
24,2019-01-12,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,42.18698569387967,41.14427060792231,46.48510882064891,58.71742782723454,55.45755067603715,53.72532829707526,42.7170575167329,50.238539088147135,52.23151093555587,62.81322878488467,-999,-999,-999,-999,-999,-999,-999
25,2019-01-13,Home,TH4,Tower Hamlets - Blackwall,25.37765740206175,25.786138690661826,21.096665112506376,17.73925520852504,20.40699805583461,22.717722677122747,25.15985562756354,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.080343768807104,42.1650483372023,35.826438459886575,22.7353799167859,23.265022699054228,17.71680118938251,35.6074070707024
26,2019-01-13,Work,TH4,Tower Hamlets - Blackwall,-999,-999,-999,-999,-999,-999,-999,29.108492510628444,33.53462492918367,37.667920765292806,33.374197019425196,27.398788523979498,36.29360009528022,33.11910253520252,37.75711531771249,36.88780277090259,45.851366664438594,-999,-999,-999,-999,-999,-999,-999
