id,Date,daynight,code,site,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0
1,2020-12-04,Work,TL4,Greenwich - Tunnel Avenue,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38.95573925000001,38.417931,29.1516615,35.98244225,43.2547195,40.9002625,-999,-999,-999,-999,-999,-999,-999
2,2020-12-04,Home,TL4,Greenwich - Tunnel Avenue,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.65010025,35.772199,32.9917165,31.817066500000003,38.994178,51.619230249999994,-999
3,2020-12-05,Home,TL4,Greenwich - Tunnel Avenue,49.69299525,29.435583,24.805695250000003,31.123879750000004,39.44689575,47.4542365,59.013842999999994,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,85.32280375,83.64840225000002,68.29286175,67.08239925000001,59.55394325,55.622256,37.045596
4,2020-12-05,Work,TL4,Greenwich - Tunnel Avenue,-999,-999,-999,-999,-999,-999,-999,64.85190125,56.78048,51.62075825,46.13905825,41.741713,55.39749675,59.31414274999999,61.49584025,68.01786950000002,74.73677200000002,-999,-999,-999,-999,-999,-999,-999
5,2020-12-06,Home,TL4,Greenwich - Tunnel Avenue,27.561443250000004,19.08486325,15.863887000000002,21.5815675,26.316648500000003,30.3098855,40.646471250000005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,73.11862000000002,71.43146925,62.60937025000001,58.4279505,58.95043100000001,53.53954425,33.491372500000004
6,2020-12-06,Work,TL4,Greenwich - Tunnel Avenue,-999,-999,-999,-999,-999,-999,-999,39.673182999999995,48.00350475,56.23168925,58.37604625000001,57.89496500000001,60.1966105,68.81319350000001,67.907519250000007,79.412261,79.03876050000001,-999,-999,-999,-999,-999,-999,-999
7,2020-12-07,Home,TL4,Greenwich - Tunnel Avenue,39.032282499999994,35.504608000000005,34.1453565,31.825136250000007,45.17995175,59.37812774999999,68.52740975000002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,76.26959475000001,66.64329025000002,62.98740700000002,69.02181325000001,64.78199525000001,63.83644975000001,47.55494125
8,2020-12-07,Work,TL4,Greenwich - Tunnel Avenue,-999,-999,-999,-999,-999,-999,-999,63.224772250000015,67.0468255,73.81825300000003,68.88935475000001,68.6040485,70.35972050000001,69.51593025,79.79994325,90.99574250000002,88.43080350000002,-999,-999,-999,-999,-999,-999,-999
9,2020-12-08,Home,TL4,Greenwich - Tunnel Avenue,60.83278375,50.67163149999999,51.71931425,56.1521855,66.92945600000003,89.61848925000004,80.03764275000006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57.50728275,56.85415824999999,52.82176625,50.029776,52.027445,46.682500999999995,66.1951565
10,2020-12-08,Work,TL4,Greenwich - Tunnel Avenue,-999,-999,-999,-999,-999,-999,-999,75.69353875000002,67.72248800000001,61.2973435,60.11214075000001,64.05142024999999,59.05753425000001,51.80192175,62.02066050000001,61.085620000000006,57.99414175,-999,-999,-999,-999,-999,-999,-999
11,2020-12-09,Home,TL4,Greenwich - Tunnel Avenue,33.103069500000004,28.60010125,25.865411,24.40297175000001,32.3423165,51.99301725000001,55.9592755,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52.58807775,49.75879474999999,48.483822,52.503799,56.9089275,52.983256749999995,36.812194000000005
