id,Date,daynight,code,site,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0
1,2019-01-01,Home,WA7,Wandsworth - Putney High Street,59.22883564876368,55.88316685860907,40.566208133465075,31.48266856408997,59.75652055339663,50.12588143192033,53.272066448788095,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59.01023295937042,75.70427386346424,45.40228266656195,34.490596557563556,42.62535926860827,37.23243670533546,69.64005889258338
2,2019-01-01,Work,WA7,Wandsworth - Putney High Street,-999,-999,-999,-999,-999,-999,-999,68.03542202851446,62.662844946508045,75.00820950805662,67.96171027095811,58.175197245741856,48.57649395081839,47.06205833744723,74.0323813631576,61.3621249910503,52.8993780183866,-999,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,WA7,Wandsworth - Putney High Street,13.54418651311575,9.69496364581003,12.139455085429065,15.763003994216993,34.083756646957546,75.85596527912423,84.35886408963935,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,97.762924920745,80.85768812354515,72.67095054609128,57.64685927006446,59.105170074432166,48.32609607402214,28.634669960181835
4,2019-01-02,Work,WA7,Wandsworth - Putney High Street,-999,-999,-999,-999,-999,-999,-999,88.84625498815454,73.01605300753481,86.51871712683341,88.43290939145174,91.0527727438192,98.49073468461016,95.63986744440832,113.8705598866181,114.93409837797223,116.64098721185964,-999,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,WA7,Wandsworth - Putney High Street,25.401181600818553,24.65785326674219,21.240841493175907,18.69281144545748,48.043466316096385,84.48302570314544,90.27812327124364,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,113.2575401089295,100.33996943276702,87.73609932705286,87.46663973817547,102.226533700884,76.96657797874026,46.7041004842805
6,2019-01-03,Work,WA7,Wandsworth - Putney High Street,-999,-999,-999,-999,-999,-999,-999,107.90572131389612,86.618129168608,105.37873074038916,95.97027342104444,111.81466080688789,116.97158569349796,106.83988797892144,96.74917421514448,115.38205813781288,104.02117151281352,-999,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,WA7,Wandsworth - Putney High Street,67.05267818257025,64.20117047350901,29.575808295802553,32.36915335513907,41.44109287698683,72.87223160645804,98.34656858782796,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,146.16423746366877,115.72770909886952,105.47526518601607,81.27477686367683,80.50904380733705,72.88078076359565,83.8908687087913
8,2019-01-04,Work,WA7,Wandsworth - Putney High Street,-999,-999,-999,-999,-999,-999,-999,96.9600520058177,105.3357566537653,125.5472540135218,116.39740672179737,107.9862805304315,99.1473446984363,98.6175446007197,109.98105317124352,153.147152021775,160.6116272131908,-999,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,WA7,Wandsworth - Putney High Street,56.78395938319177,45.94832505081438,42.557033886513786,42.07533649416573,55.14701377080884,62.8739893643448,57.25146363403788,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,153.12926271041846,150.97286786432792,147.36262475830284,127.3551774018882,119.95311586198594,120.91773490051716,63.571755778241496
10,2019-01-05,Work,WA7,Wandsworth - Putney High Street,-999,-999,-999,-999,-999,-999,-999,99.6089613203016,96.4562531004747,99.11423066629185,117.72561147933897,109.70544559743932,119.36908757788316,105.11075331007358,134.38495860462157,147.84928016127537,139.08302446846352,-999,-999,-999,-999,-999,-999,-999
