id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,WMC,Westminster - Cavendish Square,33.021249231603186,35.80467627361994,24.978206564345285,25.422778942426916,29.94823299689116,50.50248225604427,52.45901977743235,59.989600208910254,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,42.52207171940462,41.02156660655309,34.312769377569914,27.88395805696758,30.863501594608547,26.553623351135588
2,2019-01-01,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,50.432712341737265,50.8486346634303,33.895076666769185,21.44768508740414,30.004282374003157,41.03980004924833,34.82683065621821,40.54351275146596,53.70223568272808,49.55007519290119,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,WMC,Westminster - Cavendish Square,20.683531875994603,22.909313721913268,20.66268536016917,17.142099514917803,18.28370787789021,21.95781069959897,37.6620749986252,48.55042257379104,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59.26376666908125,64.18877430991519,51.8872827207116,53.03578538195628,43.62108734205375,56.97460181482932
4,2019-01-02,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,61.07045052157528,59.45818108704148,62.32742053827453,53.87477125618835,54.73320714379461,65.63746709451692,58.90205352927331,68.96663653009476,65.09526202991007,60.070248881946895,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,WMC,Westminster - Cavendish Square,38.79790578999157,30.39935385859552,31.79670278388177,25.57405170638804,36.31729784310332,31.93705034026765,48.06704205988533,62.01679064293495,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83.68300865140868,79.8079802477117,73.71139157661736,75.09725126084666,83.52026101694742,58.35429805250165
6,2019-01-03,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,59.818489390220165,65.06661889772548,58.12379681802773,46.156779497412835,57.2973780899212,56.359610462788595,75.9298691667391,78.17287809780626,62.094971888515154,74.04284417075843,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,WMC,Westminster - Cavendish Square,59.75069975411153,48.46024637180041,51.332975939397336,33.24111925512546,40.138637534910686,36.06007303095997,45.1938474857133,69.60786542322217,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,73.8834319223065,79.865753756784585,77.42689407619608,74.34591389630155,76.68561040815905,70.64759660606589
8,2019-01-04,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,68.68214298695095,60.44249121273001,62.47705122892116,72.48983511020299,57.33278154750286,56.09228321123871,69.08783752843081,65.32230647208841,70.66206032962825,82.97824238306536,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,WMC,Westminster - Cavendish Square,63.139263735802146,65.1943326082168,56.23884601196404,55.07132864472586,46.23995609621644,29.609676297579544,43.1143387941593,46.32546402798872,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83.66209392848117,80.70011241788174,70.23911931322893,76.59371370156369,79.24715829288951,77.19934485209002
10,2019-01-05,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,56.230593701916725,42.18539190749848,47.56514027036535,41.91586542307881,48.11977414095523,57.62829733473775,48.58871518857991,52.4926026756462,73.14613190465339,63.15898255145163,-999,-999,-999,-999,-999,-999
11,2019-01-06,Home,WMC,Westminster - Cavendish Square,74.21240254345811,61.7178850865096,70.60394559749767,57.82492829276268,54.459824123295064,46.41146814740553,50.10554847683219,53.10664705974429,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55.372894164260615,57.87578297360074,57.90517699087067,66.11977138936084,62.175576734836866,61.59897557122977
12,2019-01-06,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,50.40597077280009,58.279528630603714,51.17164770224568,56.762408410060615,40.0993031893241,52.39065764904847,63.082861196462105,66.42172365947167,77.12967635362102,61.30598983233009,-999,-999,-999,-999,-999,-999
13,2019-01-07,Home,WMC,Westminster - Cavendish Square,60.648186334052966,59.31363828389708,56.603801708333336,56.31238204925345,48.138551992943995,48.16775018733853,62.06783153743132,67.86806433042092,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,74.19774572034827,56.28535927506405,66.78116274067507,54.31001675930153,31.026802365770816,24.230081208500344
14,2019-01-07,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,90.90780673831703,81.95808614584897,101.32296243882944,90.22289301792549,75.13695030982747,86.66063519061177,81.70177148028577,94.78433843128072,81.72708669081071,85.87478512140785,-999,-999,-999,-999,-999,-999
15,2019-01-08,Home,WMC,Westminster - Cavendish Square,17.228450227323282,16.208996695524647,11.383508429093006,11.415262290813123,14.07253190346486,17.169743759942634,28.144495543961405,52.72446095887239,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,76.14881161324094,76.02535239751285,75.91401334370383,58.920988350965715,71.456521496715,57.46355734032944
16,2019-01-08,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,66.92967965874351,64.56690453952135,67.4603133960342,58.69139769157502,55.12923921698139,58.68373236233135,68.92946217976694,74.68262373280758,71.89947870036012,90.67594337249744,-999,-999,-999,-999,-999,-999
17,2019-01-09,Home,WMC,Westminster - Cavendish Square,45.48094943575508,43.950313693152026,20.26780669024988,20.05372540005868,24.59919800130861,22.163688264921465,45.72794663752866,58.6176004070169,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,78.72280085138807,84.78550561797188,58.781908134378725,65.80405345280512,58.40006982836028,52.106209436414616
18,2019-01-09,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,73.23751889462073,74.22867239757157,69.07861569748907,65.10552378614422,64.49423711722629,78.36611855702606,73.10627144674002,64.47167619135804,77.39042519695539,73.10835141064206,-999,-999,-999,-999,-999,-999
19,2019-01-10,Home,WMC,Westminster - Cavendish Square,44.691438135912755,31.622844688227293,32.246681321348554,37.873537985991746,37.97368820077039,42.522824527956345,55.633995485285325,64.99642976938988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,88.56549661294564,79.32616478791543,88.42029252796216,78.57316759449803,81.31233164032122,63.62892494631801
20,2019-01-10,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,73.49929864762109,98.57689120169309,93.8174278428456,99.9951003820725,83.41427505376619,82.99467136217294,91.12234295584646,79.85610100221328,79.5541043765911,76.96647824964563,-999,-999,-999,-999,-999,-999
21,2019-01-11,Home,WMC,Westminster - Cavendish Square,55.215746748067225,34.25435573699189,32.82909399533708,33.03864342105369,37.18483360154812,38.40314672350508,60.50824585475608,69.10311664292635,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,85.09499763931339,76.64602527452895,80.84268090650602,73.50732906698526,85.06737070228287,77.95098287690982
22,2019-01-11,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,66.36442050215206,82.97958907560685,76.89386269855481,77.45318973550765,77.56661789485703,80.17798513326974,68.79133634488277,81.27439673404336,78.65814712087793,90.3725526714934,-999,-999,-999,-999,-999,-999
23,2019-01-12,Home,WMC,Westminster - Cavendish Square,67.46025348202885,64.8192359378565,48.3985315189174,54.837291328836336,36.98565010080107,32.78683706400768,45.248704889013965,57.71593118579595,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.91516385707428,88.95065173514304,57.3169747549947,57.25562640179602,49.35129474717003,43.921516960134674
24,2019-01-12,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,50.73400307332706,59.05310216688464,55.26162892101786,57.46013857297372,61.28264261407016,42.90092123084262,48.84513210604423,44.250477322617094,69.330114999712535,74.8568987722254,-999,-999,-999,-999,-999,-999
25,2019-01-13,Home,WMC,Westminster - Cavendish Square,28.10547291150799,30.1819526650428,26.414163678904888,21.145835849679752,34.71563655768662,33.22429887016877,31.13494138231163,39.74760423597799,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.70862094147343,25.92179337632829,17.613055874762857,22.779348555017283,22.1720296213549,15.691256718935898
26,2019-01-13,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,39.285631743088985,40.689967723226545,44.101827619717426,36.502001293797534,31.81804653208673,37.99934129083457,43.35831887814318,47.385875441104346,55.07641064913029,58.25990786768302,-999,-999,-999,-999,-999,-999
27,2019-01-14,Home,WMC,Westminster - Cavendish Square,14.120885718879164,12.51960043534453,14.294288769510946,10.233024715433856,13.44930142023681,17.448657219669187,38.49195911917692,61.35084575453685,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,82.17853035407917,79.2828245941741,79.6126101028869,70.97970515833362,64.49058978733318,71.77130835627368
28,2019-01-14,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,68.03130930366376,68.1453554717365,57.4449718969698,64.4571068642004,45.13489100341998,57.69134273706212,64.67358108694077,71.09903410792622,66.7990262593003,65.5030555851634,-999,-999,-999,-999,-999,-999
29,2019-01-15,Home,WMC,Westminster - Cavendish Square,66.05438524972817,51.22158839194176,51.244213464639685,43.94415046485821,43.65498944481511,47.97777649929076,60.332498974110074,78.6731951114302,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,77.11155148447625,82.09582236326067,75.28182541375843,68.15341776168871,53.55964957532919,47.18064407828755
30,2019-01-15,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,91.37572915223602,93.96359301290369,89.23065587213556,99.65829123291115,91.0260557719274,85.24110489318058,95.75812181135052,104.33206861103676,75.79865526494538,96.84976865829496,-999,-999,-999,-999,-999,-999
31,2019-01-16,Home,WMC,Westminster - Cavendish Square,33.71965021300453,21.68874587572288,24.324312032782103,18.117802681828383,23.61507703505534,25.150204136646327,40.35413071689475,59.689244783350034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,94.80871824616644,95.88953873049292,82.40437218034721,61.5995752703848,70.22821301032947,72.60130362061041
32,2019-01-16,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,63.32384058797455,64.8578582839095,79.343448153611,61.82707569832094,50.986837769350366,83.15274161152115,77.1457298209797,80.32260079280934,78.55599494634998,84.89941480613106,-999,-999,-999,-999,-999,-999
33,2019-01-17,Home,WMC,Westminster - Cavendish Square,54.10736953833096,52.16516114583502,43.424450730630454,28.033814405894745,20.74118896956065,37.416990068070696,38.57152793117227,54.77689822721067,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,98.35850042332706,85.47004147994967,86.93024601557522,88.24234413090274,74.89850871527545,76.347920348199
34,2019-01-17,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,53.07292558911238,69.54454984726175,67.96808623782935,81.14873863378722,72.64241130265833,67.31114248394846,68.97126144723553,59.19411011475728,80.55643352390274,83.80718739514748,-999,-999,-999,-999,-999,-999
35,2019-01-18,Home,WMC,Westminster - Cavendish Square,80.07353061520577,85.20011877141187,71.59092176870797,76.5817259428132,71.46557869369224,66.24526571398323,71.2392443001783,86.49548310106441,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83.00126073391091,76.76031761880355,67.72980193695957,60.27995325666589,56.76410935303563,56.02534603027
36,2019-01-18,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,91.33184041640844,109.00261961653484,88.01331374400853,70.25123456053934,79.2887574747579,48.61296181180543,51.06337158657999,60.88191566763047,57.54852120933121,65.8607623822212,-999,-999,-999,-999,-999,-999
37,2019-01-19,Home,WMC,Westminster - Cavendish Square,54.41633071893896,47.89176711918817,33.186849069703534,36.45210185300138,29.768706022752447,29.159142814311796,35.67281492392624,46.0453123180087,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.642373989255354,47.017165424443874,58.67119999296869,49.54625290933953,63.80159927272506,74.1645855455217
38,2019-01-19,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,56.682682289865774,59.30467338629867,54.52330844793258,50.41154572328973,44.805308179446136,56.253113682441864,56.54921088722038,59.91635335781686,55.283588593087615,61.868438750611006,-999,-999,-999,-999,-999,-999
39,2019-01-20,Home,WMC,Westminster - Cavendish Square,69.635890652533,74.31762438220781,72.44933600225932,59.173811330369475,47.85746155424546,51.01797292272046,49.38353678331995,56.40158648274899,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,78.28031109816084,83.16929119467984,86.51443363752497,86.81159460618147,73.97105660951212,71.04433145679366
40,2019-01-20,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,61.33032787035412,66.46298135099023,59.01634634053866,59.30887617410468,48.72360747195896,53.8089564345152,51.80128823740042,51.89401621674283,61.13098610774123,86.82292187753454,-999,-999,-999,-999,-999,-999
41,2019-01-21,Home,WMC,Westminster - Cavendish Square,71.59021504768693,68.41916854761705,62.82866375505527,57.581330619635175,40.62177625027397,49.03248706955447,85.46255310193148,100.02567066949936,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63.47731389368326,66.93122460786776,58.65203785565923,46.91338313107537,39.359890235958815,33.07942385639506
42,2019-01-21,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,93.9904630943627,100.93874851182176,100.84067852352672,105.45561957992152,98.61394841026798,100.6263800601677,85.69409309806632,93.37082645766807,84.40810627337125,83.13140744079037,-999,-999,-999,-999,-999,-999
43,2019-01-22,Home,WMC,Westminster - Cavendish Square,25.736982816639305,17.10364012956529,20.851247287908603,32.64582706084645,45.41550339851206,48.82291588505944,71.73151342244675,92.21867053256874,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,91.9941312483188,106.56162826124556,87.63523647667859,95.25665580975657,86.08319399793162,52.860308366147066
44,2019-01-22,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,111.44566922643529,121.13834197136696,101.0079305923293,109.82593280535194,80.38374954902318,84.91075695982657,77.76553020994257,91.53217101769242,90.62041318265744,84.08945398139431,-999,-999,-999,-999,-999,-999
45,2019-01-23,Home,WMC,Westminster - Cavendish Square,34.487137561345136,29.211212014379896,37.48167641550109,25.099181152931003,26.416698341266112,24.989030300486757,47.20431502744867,72.58779694071661,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,98.39929235534515,107.26989555561634,103.92954858702312,100.41759312050252,92.85189448735755,93.06579272373222
46,2019-01-23,Work,WMC,Westminster - Cavendish Square,-999,-999,-999,-999,-999,-999,-999,-999,77.33812822489489,67.07781742224057,56.638119861716966,72.14324224189528,68.8675514323899,63.086256307058655,82.81185605401038,82.02158641341258,94.74225367354468,110.64219698623526,-999,-999,-999,-999,-999,-999
