no,type,date,pm2.5,inc3per,incsub
1,pm2.5,31/03/2018,11.69727214,11.69727214,0
2,pm2.5,30/06/2018,13.15891047,15.20645379,2.047543315
3,pm2.5,30/09/2018,8.487179315,17.10658361,8.619404299
4,pm2.5,31/12/2018,11.55748049,11.03333311,-0.524147376
5,pm2.5,31/03/2019,13.61110449,15.02472463,1.413620145
6,pm2.5,30/06/2019,13.49084676,17.69443583,4.203589069
7,pm2.5,30/09/2019,7.472565515,17.53810079,10.06553528
8,pm2.5,31/12/2019,9.747080389,9.71433517,-0.03274522
9,pm2.5,31/03/2020,8.674167443,12.67120451,3.997037063
10,pm2.5,30/06/2020,10.43596962,11.27641768,0.840448055
11,pm2.5,30/09/2020,7.935104166,13.56676051,5.631656341
12,pm2.5,31/12/2020,9.223823126,10.31563542,1.091812289
13,pm2.5,31/03/2021,11.06652282,11.99097006,0.924447242
14,pm2.5,30/06/2021,8.770750885,14.38647967,5.615728783
15,pm2.5,30/09/2021,8.259857695,11.40197615,3.142118455
16,pm2.5,31/12/2021,7.662204148,10.737815,3.075610856
