Area code,Area name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 years and over
E09000007,Camden,"10,000","9,900","10,400","13,800","20,200","22,000","20,500","16,500","14,500","13,400","13,300","11,800","9,100","7,100","6,500","4,800","3,300","1,900","1,200"
E09000001,City of London,200,200,200,200,"1,000","1,200","1,000",700,500,600,600,500,400,400,300,200,200,100,0
E09000012,Hackney,"16,200","15,200","15,400","14,100","18,600","31,500","31,900","23,600","18,600","15,500","14,600","13,400","10,100","7,000","5,500","3,400","2,400","1,400",800
E09000013,Hammersmith and Fulham,"9,100","8,800","9,000","8,200","17,000","23,400","19,400","14,800","12,800","12,200","11,900","10,200","7,400","5,700","5,000","3,500","2,500","1,400",800
E09000014,Haringey,"14,900","14,700","15,600","14,600","16,400","24,000","25,900","23,600","21,100","19,200","18,500","16,100","11,900","8,800","7,100","4,900","3,700","2,100","1,100"
E09000019,Islington,"11,200","10,000","9,900","10,700","18,500","28,800","27,300","19,000","14,800","12,600","12,900","11,800","8,800","6,400","5,400","3,600","2,600","1,500",800
E09000020,Kensington and Chelsea,"6,200","6,400","6,500","6,700","12,200","13,100","12,100","10,600","9,600","10,200","11,100","10,400","7,800","5,900","5,500","4,000","2,800","1,500","1,000"
E09000022,Lambeth,"15,300","14,900","15,500","14,900","26,800","45,300","36,600","26,400","22,400","20,400","20,500","18,200","13,200","9,000","6,900","4,600","3,600","2,000","1,200"
E09000023,Lewisham,"19,100","18,200","17,600","15,700","18,800","27,600","30,800","27,500","23,700","20,800","20,000","18,600","13,500","9,000","7,100","5,100","3,900","2,300","1,300"
E09000025,Newham,"23,900","23,300","23,300","22,100","28,300","36,000","36,700","32,500","27,400","22,800","20,500","16,300","12,800","9,100","6,300","4,000","3,200","1,700",800
E09000028,Southwark,"16,400","15,900","16,200","16,200","25,500","38,300","35,000","26,500","21,900","19,900","19,500","17,600","13,200","8,400","6,700","4,400","3,300","1,900","1,100"
E09000030,Tower Hamlets,"19,100","17,700","17,400","18,400","32,000","44,500","40,700","29,800","22,600","17,500","13,900","10,800","8,500","6,000","4,300","2,800","2,200","1,300",700
E09000032,Wandsworth,"18,700","16,900","15,700","13,100","23,800","47,700","38,500","29,300","24,600","20,800","18,800","16,200","12,100","9,100","8,300","5,700","4,200","2,500","1,500"
E09000033,Westminster,"8,500","7,900","8,600","10,700","19,400","23,300","20,900","16,100","14,100","13,800","14,400","12,400","9,600","7,300","6,300","4,700","3,200","2,000","1,200"
E09000002,Barking and Dagenham,"17,200","18,300","18,200","15,100","13,200","15,200","18,100","18,600","17,100","14,900","13,800","11,300","8,600","5,900","4,800","3,200","2,600","1,500","1,000"
E09000003,Barnet,"24,100","25,200","25,800","21,500","22,400","28,000","30,200","30,800","30,100","27,500","25,600","22,900","19,100","15,400","14,400","10,500","7,400","5,100","3,300"
E09000004,Bexley,"15,000","16,200","16,400","14,100","13,500","14,900","17,100","17,700","17,100","16,000","17,300","16,600","13,600","10,700","10,500","7,800","6,000","3,800","2,200"
E09000005,Brent,"20,000","19,800","20,900","20,600","24,600","29,300","29,800","27,700","25,400","23,100","22,800","19,900","16,400","12,300","9,600","7,000","5,500","3,300","1,800"
E09000006,Bromley,"19,500","20,600","20,900","17,200","14,700","18,300","22,400","24,800","25,100","23,700","23,900","22,400","18,300","14,500","15,400","11,200","8,200","5,600","3,400"
E09000008,Croydon,"25,200","25,000","25,400","22,300","21,600","27,500","31,600","31,200","28,600","26,000","27,100","25,800","20,300","15,300","13,800","9,700","7,200","4,600","2,500"
E09000009,Ealing,"21,500","22,200","23,600","21,800","22,600","28,900","30,800","30,800","29,700","26,400","24,700","21,900","17,600","13,600","11,400","8,000","6,000","3,600","1,900"
E09000010,Enfield,"21,300","22,800","24,100","21,300","19,100","21,200","23,100","24,000","24,600","22,700","22,700","21,100","17,100","12,800","11,200","8,200","6,500","4,100","2,300"
E09000011,Greenwich,"19,000","18,800","18,200","15,900","18,400","24,700","27,900","25,800","23,000","19,600","19,000","16,100","12,500","9,300","8,000","5,600","3,800","2,300","1,200"
E09000015,Harrow,"15,700","16,100","16,500","15,100","15,100","18,500","20,500","21,100","19,900","17,000","16,400","15,400","13,900","11,500","9,900","7,400","5,700","3,600","2,100"
E09000016,Havering,"16,500","16,900","16,000","14,400","14,100","16,900","19,300","19,200","17,400","16,200","17,400","17,000","14,800","11,900","12,100","8,700","6,500","4,400","2,600"
E09000017,Hillingdon,"19,900","20,500","20,000","18,600","19,800","20,800","23,700","24,900","23,500","20,300","19,900","18,100","14,900","11,700","10,500","7,400","5,800","3,800","2,100"
