Area code,Area name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 years and over
E09000007,Camden,100,99,104,138,202,220,205,165,145,134,133,118,91,71,65,48,33,19,12
E09000001,City of London,2,2,2,2,10,12,10,7,5,6,6,5,4,4,3,2,2,1,0
E09000012,Hackney,162,152,154,141,186,315,319,236,186,155,146,134,101,70,55,34,24,14,8
E09000013,Hammersmith and Fulham,91,88,90,82,170,234,194,148,128,122,119,102,74,57,50,35,25,14,8
E09000014,Haringey,149,147,156,146,164,240,259,236,211,192,185,161,119,88,71,49,37,21,11
E09000019,Islington,112,100,99,107,185,288,273,190,148,126,129,118,88,64,54,36,26,15,8
E09000020,Kensington and Chelsea,62,64,65,67,122,131,121,106,96,102,111,104,78,59,55,40,28,15,10
E09000022,Lambeth,153,149,155,149,268,453,366,264,224,204,205,182,132,90,69,46,36,20,12
E09000023,Lewisham,191,182,176,157,188,276,308,275,237,208,200,186,135,90,71,51,39,23,13
E09000025,Newham,239,233,233,221,283,360,367,325,274,228,205,163,128,91,63,40,32,17,8
E09000028,Southwark,164,159,162,162,255,383,350,265,219,199,195,176,132,84,67,44,33,19,11
E09000030,Tower Hamlets,191,177,174,184,320,445,407,298,226,175,139,108,85,60,43,28,22,13,7
E09000032,Wandsworth,187,169,157,131,238,477,385,293,246,208,188,162,121,91,83,57,42,25,15
E09000033,Westminster,85,79,86,107,194,233,209,161,141,138,144,124,96,73,63,47,32,20,12
E09000002,Barking and Dagenham,172,183,182,151,132,152,181,186,171,149,138,113,86,59,48,32,26,15,10
E09000003,Barnet,241,252,258,215,224,280,302,308,301,275,256,229,191,154,144,105,74,51,33
E09000004,Bexley,150,162,164,141,135,149,171,177,171,160,173,166,136,107,105,78,60,38,22
E09000005,Brent,200,198,209,206,246,293,298,277,254,231,228,199,164,123,96,70,55,33,18
E09000006,Bromley,195,206,209,172,147,183,224,248,251,237,239,224,183,145,154,112,82,56,34
E09000008,Croydon,252,250,254,223,216,275,316,312,286,260,271,258,203,153,138,97,72,46,25
E09000009,Ealing,215,222,236,218,226,289,308,308,297,264,247,219,176,136,114,80,60,36,19
E09000010,Enfield,213,228,241,213,191,212,231,240,246,227,227,211,171,128,112,82,65,41,23
E09000011,Greenwich,190,188,182,159,184,247,279,258,230,196,190,161,125,93,80,56,38,23,12
E09000015,Harrow,157,161,165,151,151,185,205,211,199,170,164,154,139,115,99,74,57,36,21
E09000016,Havering,165,169,160,144,141,169,193,192,174,162,174,170,148,119,121,87,65,44,26
E09000017,Hillingdon,199,205,200,186,198,208,237,249,235,203,199,181,149,117,105,74,58,38,21
E09000018,Hounslow,182,191,187,162,168,208,249,259,242,209,189,164,133,106,89,61,44,26,14
E09000021,Kingston upon Thames,96,105,106,94,112,110,123,130,135,127,116,102,82,67,66,45,32,19,13
E09000024,Merton,135,133,132,107,112,172,192,190,181,155,145,126,102,79,71,48,37,22,14
E09000026,Redbridge,212,217,214,193,190,217,249,262,248,211,194,170,145,113,96,66,52,33,19
E09000027,Richmond upon Thames,111,128,132,101,82,99,121,143,164,162,154,136,103,84,87,62,41,25,17
E09000029,Sutton,128,143,144,113,99,125,147,166,171,153,147,136,106,86,84,59,43,29,17
E09000031,Waltham Forest,190,174,166,151,156,225,285,271,231,193,181,155,121,88,72,51,39,22,12
